State,Tested,Infected,Deaths,Population,Pop Density,Gini,ICU Beds,Income,GDP,Unemployment,Sex Ratio,Smoking Rate,Flu Deaths,Respiratory Deaths,Physicians,Hospitals,Health Spending,Pollution,Med-Large Airports,Temperature,Urban,Age 0-25,Age 26-54,Age 55+,% Area in USA,Air quality,Average IQ,Total Homeless,Life Expectancy,Vaccination Rate
New York,1153768,333122,21271,19440469,412.5211,0.5229,3952,68667,85746,3.7,0.937557051,14.1,18.4,28.5,89500,166,9778,6.6,3,45.4,87.9,0.31,0.39,0.3,5.81,40.4,100.7,92091,80.5,81.7
Ohio,183269,22560,1331,11747694,287.5038,0.468,3314,48242,57492,4.1,0.950293657,21.1,15.7,49,42373,194,8712,8.5,3,50.7,77.9,0.32,0.37,0.31,3.51,48.2,101.8,10345,77.8,80.5
Oklahoma,95869,4424,266,3954821,57.6547,0.4645,1064,46128,50613,3.2,0.957441334,20.1,17.8,63.5,9472,125,7627,8.2,0,59.6,66.2,0.35,0.37,0.29,1.18,43.5,99.3,3944,75.9,77.6
Oregon,62054,2680,127,4301089,44.8086,0.4583,659,49908,56956,3.3,0.976263437,16.1,10.2,35.6,12149,61,8044,7.8,1,48.4,81,0.3,0.39,0.31,1.29,36.1,101.2,15876,79.5,78
Pennsylvania,277107,55316,3688,12820878,286.5449,0.4689,3169,55349,61594,4.7,0.95420919,18.7,15.5,35.1,51069,199,9258,9.2,2,48.8,78.7,0.3,0.37,0.32,3.83,45.6,101.5,13199,78.5,82.5
Rhode Island,87815,10989,418,1056161,1021.4323,0.4781,279,54523,57852,3.4,0.942818895,14.9,13.3,31.2,4988,11,9551,7.3,0,50.1,90.7,0.29,0.39,0.32,0.32,43.7,99.5,1055,79.9,87.5
South Carolina,80963,7531,330,5210095,173.3174,0.4735,1225,42736,45280,2.5,0.923146867,18.8,14.5,45.8,12847,69,7311,7.4,0,62.4,66.3,0.32,0.36,0.32,1.56,44.8,98.4,4172,77,79.4
South Dakota,21293,3144,31,903027,11.9116,0.4495,152,50141,58624,3.3,1.006232023,19.3,20.7,43.7,2041,57,8933,5.1,0,45.2,56.7,0.35,0.35,0.3,0.27,39.6,102.8,995,79.5,79.8
Tennessee,243578,14768,242,6897576,167.2748,0.479,2209,47179,53933,3.4,0.938163277,22.6,20.7,55.9,18979,115,7372,7.4,1,57.6,66.4,0.33,0.38,0.29,2.06,47.5,97.7,7467,76.3,86.7
Texas,489294,37860,1049,29472295,112.8204,0.48,6199,49161,61167,3.5,0.969594546,15.7,12.9,39.7,64602,523,6998,8.3,6,64.8,84.7,0.36,0.39,0.24,8.81,41,100,25848,78.5,79.9
Utah,143294,6103,66,3282115,39.943,0.4063,565,45340,55550,2.5,1.007377643,8.9,13.4,33.2,6761,54,5982,8.4,1,48.6,90.6,0.42,0.37,0.21,0.98,51.2,101.1,2798,80.2,79.5
Virginia,150952,23196,827,8626207,218.4403,0.4705,1654,56952,62563,2.6,0.936555891,16.4,13.1,34.7,23307,96,7556,6.9,2,55.1,75.5,0.33,0.38,0.29,2.58,45,101.9,5783,79,92.1
Vermont,19008,919,53,628061,68.1416,0.4539,94,53598,53523,2.4,0.9717477,15.8,9.8,39.6,2338,14,10190,5.1,0,42.9,38.9,0.27,0.36,0.36,0.19,38.5,103.8,1089,80.5,83.5
Washington,242989,16674,921,7797095,117.3272,0.4591,1265,60781,74182,3.8,0.983452508,13.5,10.9,34.5,22036,92,7913,8,1,48.3,84.1,0.31,0.4,0.29,2.33,33.5,101.9,21577,79.9,78.9
Wisconsin,106855,9590,384,5851754,108.0497,0.4498,1159,50756,57720,3.5,0.979583246,16,14.1,37.8,17695,133,8702,6.8,1,43.1,70.2,0.32,0.37,0.31,1.75,39.5,102.9,4538,80,80.7
West Virginia,61564,1347,53,1778070,73.9691,0.4711,653,40578,43053,4.9,0.960721042,26,21.2,64.3,5685,56,9462,7.6,0,51.8,48.7,0.29,0.36,0.35,0.53,47.6,98.7,1397,75.4,81.8
Wyoming,13523,490,7,567025,5.84,0.436,102,60095,69900,3.7,1.035778822,18.7,18.9,58.7,1172,29,8320,5,0,42,64.8,0.32,0.36,0.31,0.17,45,102.4,548,78.3,76.9
